Bhutan	https://download.geofabrik.de/asia/bhutan-latest.osm.pbf	(22.3 MB)	
Cambodia	https://download.geofabrik.de/asia/cambodia-latest.osm.pbf	(36.0 MB)	
China	https://download.geofabrik.de/asia/china-latest.osm.pbf	(1.3 GB)	
East Timor	https://download.geofabrik.de/asia/east-timor-latest.osm.pbf	(16.4 MB)	0
GCC States	https://download.geofabrik.de/asia/gcc-states-latest.osm.pbf	(230 MB)	
India	https://download.geofabrik.de/asia/india-latest.osm.pbf	(1.5 GB)	
Indonesia (with East Timor)	https://download.geofabrik.de/asia/indonesia-latest.osm.pbf	(1.6 GB)	
Iran	https://download.geofabrik.de/asia/iran-latest.osm.pbf	(211 MB)	
Iraq	https://download.geofabrik.de/asia/iraq-latest.osm.pbf	(81 MB)	
Israel and Palestine	https://download.geofabrik.de/asia/israel-and-palestine-latest.osm.pbf	(112 MB)	
Japan	https://download.geofabrik.de/asia/japan-latest.osm.pbf	(2.1 GB)	
Jordan	https://download.geofabrik.de/asia/jordan-latest.osm.pbf	(29.1 MB)	
Kazakhstan	https://download.geofabrik.de/asia/kazakhstan-latest.osm.pbf	(196 MB)	
Kyrgyzstan	https://download.geofabrik.de/asia/kyrgyzstan-latest.osm.pbf	(46.0 MB)	
Laos	https://download.geofabrik.de/asia/laos-latest.osm.pbf	(49.3 MB)	
Lebanon	https://download.geofabrik.de/asia/lebanon-latest.osm.pbf	(48.7 MB)	
Malaysia, Singapore, and Brunei	https://download.geofabrik.de/asia/malaysia-singapore-brunei-latest.osm.pbf	(225 MB)	
Maldives	https://download.geofabrik.de/asia/maldives-latest.osm.pbf	(3.3 MB)	0
Mongolia	https://download.geofabrik.de/asia/mongolia-latest.osm.pbf	(55 MB)	
Myanmar (a.k.a. Burma)	https://download.geofabrik.de/asia/myanmar-latest.osm.pbf	(249 MB)	
Nepal	https://download.geofabrik.de/asia/nepal-latest.osm.pbf	(382 MB)	
North Korea	https://download.geofabrik.de/asia/north-korea-latest.osm.pbf	(78 MB)	
Pakistan	https://download.geofabrik.de/asia/pakistan-latest.osm.pbf	(135 MB)	
Philippines	https://download.geofabrik.de/asia/philippines-latest.osm.pbf	(554 MB)	
Russian Federation	https://download.geofabrik.de/russia-latest.osm.pbf	(3.7 GB)	
South Korea	https://download.geofabrik.de/asia/south-korea-latest.osm.pbf	(246 MB)	
Sri Lanka	https://download.geofabrik.de/asia/sri-lanka-latest.osm.pbf	(131 MB)	
